item_original_name,item_extracted_name,item_price
Galaxy A7, Smartphone Samsung Galaxy A7 A750g Dual Chip 64gb Lacrado ,1.300
Galaxy A7 (2018), Celular Samsung Galaxy A7 2018 64 Gb Preto Usado Muito Bom ,959
Galaxy A7 Duos, Samsung Galaxy A7 2017 A720 - Dual 64gb 16mp 4g - Mostruário ,999
Galaxy A7(2016), Celular Samsung Galaxy A7 2016 16gb ,450
Galaxy A7(2017), Samsung Galaxy A7 2017 A720 - Dual 64gb 16mp 4g - Mostruário ,999
Galaxy A70, Samsung Galaxy A70 Dual SIM 128 GB Preto 6 GB RAM ,2.399
Galaxy A8, Samsung Galaxy A8+ Dual SIM 64 GB Preto 4 GB RAM ,2.571
Galaxy A8 Star, Samsung Galaxy A8+ Dual SIM 64 GB Preto 4 GB RAM ,2.571
Galaxy A8(2018)," Samsung Galaxy A8 A530 / Dual, 64gb, 4g, 16mp - Mostruário ",1.100
Galaxy A8+(2018), Celular Samsung Galaxy A6+ 2018 Prata 4gb 64gb Tela 6.0 ,1.940
Galaxy A80, Samsung Galaxy A80 Dual SIM 128 GB Phantom black 8 GB RAM ,2.699
Galaxy A8s, Samsung A8s ,2.900
Galaxy A9 (2018), Samsung Galaxy A9 (2018) 128 GB Preto-caviar 6 GB RAM ,2.585
Galaxy A9 Pro, Celular Galaxy 9 Pro6 32 Gb Duos Dourado ,700
Galaxy A9s, Samsung Galaxy J1 Mini Dual SIM 8 GB Branco 1 GB RAM ,529
Galaxy Ace 4," Samsung Galaxy Ace 4 Neo G318 Ml/ds - 3g, Dual - Novo ",369
Galaxy Ace 4 Lite, Galaxy Ace4 3g 4gb Problema No Autofalante E Está Lento ,100
Galaxy Ace 4 Neo," Samsung Galaxy Ace 4 Neo G318 Ml/ds - 3g, Dual - Novo ",369
Galaxy Alpha," Samsung Galaxy Alpha G850 32gb, 12mp, 4g - De Vitrine ",699
Galaxy C5, Celular Samsung C5 4 Gb Ram + 32 Gb De Memória Interna ,799
Galaxy C7, Celular Nokia C7 Lg Sony Samsung Siemens Zte ,400
Galaxy C9 Pro, Smartphone Samsung Galaxy C9 Pro 64gb Tela 6 6gb Ram ,840
Galaxy Core, Samsung Galaxy J2 Core Dual SIM 16 GB Prata (Lavanda) 1 GB RAM ,519
Galaxy Core II (SM-G355H),,
Galaxy Core II Duos, Samsung Galaxy J2 Core Dual SIM 16 GB Prata (Lavanda) 1 GB RAM ,519
Galaxy Core LTE (SM-G386F), Samsung Galaxy J2 Core Dual SIM 16 GB Prata (Lavanda) 1 GB RAM ,519
Galaxy Core Plus Duos TV SM-G3502T, Celular Samsung Galaxy Core Plus G3502t Duos 4gb Rom 3g Tv ,425
Galaxy Core Prime, Samsung Galaxy J4 Core Dual SIM 16 GB Preto 1 GB RAM ,619
